Precio(€),Nombre,Procesador,Ranking Procesador,RAM (GB),Disco duro,Pantalla,Gráfica
999.0,Asus Rog Strix G531GT-BQ165,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",GTX1650
949.0,MSI Modern 15 A10RAS-089XES,Intel Core i5-10210U,513,16 GB,512GB SSD,"15.6""",MX330
570.77,HP 15-DA2001NS,Intel Core i5-10210U,513,8 GB,1TB,"15.6"" Rojo Escarlata",
1799.0,Apple MacBook Pro,Intel Core i5 2.4GHz,"[[903, 'Intel Core i5-2400'], [350, 'Intel Core i5-9400H']]",8 GB,256GB SSD,"13.3"" Gris Espacial",
674.6,HP 15S-FQ1049NS,Intel Core i7-1065G7,312,8 GB,256GB SSD,"15.6""",
1699.0,MSI Prestige 15 A10SC-008ES,Intel Core i7-10710U,267,16 GB,1TB SSD,"15.6""",GTX 1650
1199.0,Dynabook Satellite Pro L50-G-144,Intel Core i7-10710U,267,16 GB,1TB+512GB SSD,"15.6""",
859.0,HP ENVY 13-AQ1004NS,Intel Core i5-10210U,513,8 GB,256GB SSD,"13.3""",MX250
1199.0,MSI GF65 Thin 9SD-038XES,Intel Core i7-9750H,229,16 GB,1TB SSD,"15.6""",GTX 1660Ti
624.37,Lenovo Yoga 530-14IKB,Intel Core i3-7020U,1167,8 GB,256GB SSD,"14"" Táctil",
1999.0,Apple MacBook Pro,Intel Core i5 2.4GHz,"[[903, 'Intel Core i5-2400'], [350, 'Intel Core i5-9400H']]",8 GB,512GB SSD,"13.3"" Gris Espacial",
613.59,Lenovo V14,Intel Core i5-8265U,548,8 GB,512GB SSD,"14""",
399.0,Lenovo IdeaPad D330-10IGM,Intel Pentium N5000,"[[1995, 'Intel Pentium U5600'], [2116, 'Intel Pentium U5400']]",4 GB,128GB eMMC,"10.1"" Táctil",
399.94,HP 255 G7,AMD Ryzen 3 2200U,941,4 GB,128GB SSD,"15.6""",
1799.0,MSI GE65 Raider 9SF-292XES,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6""",RTX 2070
1349.0,MSI Prestige 14 A10SC-067XES,Intel Core i7-10710U,267,16 GB,1TB SSD,"14""",GTX 1650
579.0,HP 15S-FQ1038NS,Intel Core i5-1035G1,396,8 GB,256GB SSD,"15.6""",
1599.0,HP OMEN 15-DH0005NS,Intel Core i7-9750H,229,16 GB,1TB+256GB SSD,"15.6""",RTX 2060
189.19,Lenovo Ideapad S145,AMD A6-9225,1557,4 GB,128GB SSD,"15.6"" Reacondicionado",
639.0,Lenovo Ideapad S145-15IWL,Intel Core i7-8565U,508,8 GB,256GB SSD,"15.6""",
849.0,MSI Modern 15 A10M-088XES,Intel Core i5-10210U,513,16 GB,512GB SSD,"15.6""",
488.99,Asus VivoBook S412FA-EK429T,Intel Core i3-8145U,912,4 GB,256GB SSD,"14""",
979.0,Asus ZenBook 14 UX434FAC-A5058T,Intel Core i5-10210U,513,8 GB,512GB SSD,"14""",
2699.0,MSI P75 Creator 9SF-1210ES,Intel Core i9-9880H,172,32 GB,1TB SSD,"17.3""",RTX 2070
290.23,Asus M509BA-BR064,AMD A4-9125,"[[1634, 'AMD A4-9120'], [1447, 'AMD A4-1250']]",4 GB,256GB SSD,"15.6""",
689.0,HP 15S-FQ1005NS,Intel Core i7-1065G7,312,8 GB,256GB SSD,"15.6""",
1199.0,Apple MacBook Air,Intel Core i3,"[[1078, 'Intel Core i7-930'], [1479, 'Intel Core i3-560']]",8 GB,256GB SSD,"13.3"" Oro",
345.6,Primux ioxbook Tour 1302F,Intel Celeron N3350,1663,4 GB,240GB SSD + 64GB eMMC,"13.3"" Táctil",
1449.0,MSI GL65 9SFK-286XES,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",RTX 2070
482.6,HP 250 G7,Intel Core i3-8130U,904,8 GB,256GB SSD,"15.6""",
1599.0,Asus ZenBook 15 UX534FTC-A8116T,Intel Core i7-10510U,438,16 GB,512GB SSD,"15.6""",GTX1650
1049.0,MSI Alpha 15 A3DDK-052XES,AMD Ryzen 7 3750H,351,16 GB,1TB SSD,"15.6""",RX 5500M
